timestamp,prompt_type,prompt_length,input_tokens,output_tokens,prompt_eval_time,output_eval_time,total_time,avg_token_latency,throughput,model_name,gpu_name,gpu_mem_used_MB,gpu_mem_total_MB,gpu_util_percent,batch_size,time_to_first_token_user_est
2025-11-04T00:51:44.977639,simple,short,6,12,42.24678897857666,0.1445016860961914,42.39129066467285,0.0120418071746826,83.04401370107114,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,42.36678897857666
2025-11-04T00:51:45.106639,simple,short,5,9,42.40997791290283,0.1055002212524414,42.51547813415527,0.0117222468058268,85.3078779661017,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,42.52997791290283
2025-11-04T00:51:45.275138,simple,short,8,12,42.54600667953491,0.1445002555847168,42.69050693511963,0.012041687965393,83.04483581321216,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,42.66600667953491
2025-11-04T00:51:45.770139,simple,short,4,37,42.722008228302,0.4720010757446289,43.19400930404663,0.0127567858309359,78.3896518490531,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,42.842008228302
2025-11-04T00:51:46.410643,simple,short,7,48,43.2015335559845,0.6165449619293213,43.81807851791382,0.0128446867068608,77.85320287071386,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,43.321533555984495
2025-11-04T00:51:46.749642,simple,short,6,25,43.821011543273926,0.3160006999969482,44.13701224327088,0.0126400279998779,79.11374879942176,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,43.94101154327392
2025-11-04T00:51:47.208141,simple,short,4,34,44.14801073074341,0.4345011711120605,44.58251190185547,0.0127794462091782,78.2506521512486,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,44.268010730743406
2025-11-04T00:51:49.631646,simple,short,6,182,44.61145377159119,2.4000027179718018,47.01145648956299,0.0131868281207241,75.83324745307158,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,44.731453771591184
2025-11-04T00:51:53.085652,simple,short,8,258,47.04201650619507,3.430004835128784,50.47202134132385,0.01329459238422,75.21855285965304,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,47.162016506195066
2025-11-04T00:51:53.359651,simple,short,5,20,50.50852012634277,0.2505011558532715,50.759021282196045,0.0125250577926635,79.83995096499594,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,50.62852012634277
2025-11-04T00:51:53.501220,simple,short,4,10,50.7615225315094,0.1180675029754638,50.87959003448486,0.0118067502975463,84.69731084325672,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,50.8815225315094
2025-11-04T00:51:56.847157,simple,short,6,250,50.97002410888672,3.3220033645629883,54.29202747344971,0.0132880134582519,75.25579373785122,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,51.090024108886716
2025-11-04T00:51:57.004157,simple,short,8,11,54.24152731895447,0.1329998970031738,54.37452721595764,0.0120908997275612,82.70683096647439,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,54.361527318954465
2025-11-04T00:51:59.254660,simple,short,6,169,54.43252825737,2.227001667022705,56.6595299243927,0.013177524656939,75.88678648181586,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,54.55252825737
2025-11-04T00:51:59.449162,simple,short,7,14,56.65203046798706,0.1705019474029541,56.822532415390015,0.0121787105287824,82.11049910716409,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,56.77203046798706
2025-11-04T00:52:01.716664,simple,short,7,170,56.865532636642456,2.244001865386963,59.10953450202942,0.0132000109728644,75.75751278205139,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,56.98553263664245
2025-11-04T00:52:01.923697,simple,short,7,15,59.12203598022461,0.1835319995880127,59.30556797981262,0.0122354666392008,81.72961681707585,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,59.24203598022461
2025-11-04T00:52:02.040164,simple,short,5,8,59.31503486633301,0.0924980640411377,59.40753293037415,0.0115622580051422,86.48829662469552,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,59.435034866333005
2025-11-04T00:52:02.207667,simple,short,4,12,59.43956542015076,0.1444704532623291,59.584035873413086,0.0120392044385274,83.06196685221461,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,59.559565420150754
2025-11-04T00:52:04.898669,simple,short,5,202,59.59953784942627,2.66750168800354,62.26703953742981,0.0132054539010076,75.72628760028434,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,59.71953784942627
2025-11-04T00:52:05.002214,simple,short,4,7,62.2948477268219,0.0795428752899169,62.374390602111816,0.0113632678985595,88.00285348607876,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,62.4148477268219
2025-11-04T00:52:05.183715,simple,short,7,13,62.40149283409119,0.1575446128845214,62.55903744697571,0.0121188163757324,82.5163092661814,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,62.521492834091184
2025-11-04T00:52:06.403717,simple,short,7,92,62.59282922744751,1.196500539779663,63.78932976722717,0.0130054406497789,76.8908971967049,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,62.71282922744751
2025-11-04T00:52:10.375223,simple,short,5,295,63.82558703422546,3.948005199432373,67.77359223365784,0.0133830684726521,74.72127950652492,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,63.945587034225454
2025-11-04T00:52:12.207729,simple,short,5,138,67.76109433174133,1.80800461769104,69.56909894943237,0.0131014827368915,76.32723868605852,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,67.88109433174134
2025-11-04T00:52:12.388227,simple,short,5,13,69.62507677078247,0.1570005416870117,69.78207731246948,0.0120769647451547,82.80226208337636,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,69.74507677078248
2025-11-04T00:52:15.701274,simple,short,7,247,69.78909802436829,3.289546489715576,73.07864451408386,0.0133180019826541,75.0863381235741,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,69.90909802436829
2025-11-04T00:52:15.843731,simple,short,7,10,73.10860252380371,0.1179990768432617,73.22660160064697,0.0117999076843261,84.74642571384697,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,73.22860252380372
2025-11-04T00:52:16.037731,simple,short,5,14,73.23860263824463,0.1704981327056884,73.40910077095032,0.0121784380504063,82.11233623400796,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,73.35860263824463
2025-11-04T00:52:16.219234,simple,short,5,13,73.4511046409607,0.1574995517730713,73.60860419273376,0.0121153501363901,82.53991743881707,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,73.5711046409607
2025-11-04T00:52:16.348733,simple,short,7,9,73.62766885757446,0.1059334278106689,73.73360228538513,0.0117703808678521,84.95901799841104,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,73.74766885757447
2025-11-04T00:52:16.517851,simple,short,7,12,73.72860503196716,0.1451165676116943,73.87372159957886,0.0120930473009745,82.69214327139977,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,73.84860503196717
2025-11-04T00:52:18.247736,simple,short,6,130,73.90760445594788,1.706501007080078,75.61410546302795,0.0131269308236929,76.17926942946112,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,74.02760445594788
2025-11-04T00:52:20.536789,simple,short,7,172,75.62510824203491,2.2650508880615234,77.89015913009644,0.0131689005119856,75.93648377021724,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,75.74510824203492
2025-11-04T00:52:20.731742,simple,short,7,14,77.91811275482178,0.1710000038146972,78.08911275863647,0.012214285986764,81.87134320283982,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,78.03811275482178
2025-11-04T00:52:20.992243,simple,short,4,19,78.0906114578247,0.2370002269744873,78.3276116847992,0.0124736961565519,80.16869959388401,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,78.21061145782471
