batch_size,prompt_type,prompt_length,total_output_tokens,batch_time,avg_token_latency,avg_throughput,gpu_name,gpu_mem_used_MB,gpu_mem_total_MB,gpu_util_percent
1,complex,long,643.0,8.913565158843994,0.0138624652548118,72.1372412207049,NVIDIA GeForce RTX 3060 Ti,6409.0,8192,93.0
1,complex,long,540.0,7.510596990585327,0.0139085129455283,71.89841242672188,NVIDIA GeForce RTX 3060 Ti,6408.0,8192,94.0
1,complex,long,573.0,7.968559741973877,0.0139067360243872,71.9075991840482,NVIDIA GeForce RTX 3060 Ti,6400.0,8192,93.0
1,complex,short,237.0,2.9890014184377964,0.013406463855803,70.43885937343968,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,248.0,4.15294474003744,0.0162621548337621,66.4322187717502,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,260.0,3.618692109556575,0.0140402046777611,63.74365403148939,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,271.0,4.207782735540689,0.0158502326566559,66.48855547774252,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,282.0,3.912171075237714,0.0151365393453163,66.77714009416083,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,294.0,4.166627652756777,0.0148268349004575,72.09752309003176,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,305.0,4.277737616249995,0.0137909887297194,73.68541216290807,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,316.0,5.120926248645089,0.0149346233565809,62.75065150640116,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,328.0,5.085145853885709,0.0156716469398745,66.55887720246405,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,339.0,5.0997449067782,0.0146300899696721,65.65498954111078,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,350.0,5.604305256191571,0.015568742322433,68.63407479847014,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,362.0,5.197419308996014,0.0150847078169965,70.00951477341903,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,373.0,5.301007429283204,0.0145996125266906,71.64176131249285,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,384.0,5.334918746668098,0.0148154577219833,65.49134614025346,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,396.0,5.795684952176783,0.014190441774766,69.68079807404425,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,407.0,5.527889626770913,0.0133902181909502,69.7561785534794,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,418.0,6.854194234627495,0.01533246595873,69.5812191508954,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,430.0,6.319455999332507,0.0153037529406911,67.52625671037434,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,441.0,6.26463249258971,0.0144781425772821,69.70811319961878,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,452.0,6.70213367771617,0.0148588917686208,66.380217138095,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,463.0,7.989305244182453,0.0164198890928546,66.57492715999177,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,475.0,6.733081001166076,0.0149703884649518,63.99894251936603,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,486.0,6.882546114624665,0.0140908658271074,64.54613582063878,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,497.0,7.589961674827855,0.0146713059067307,70.57652867680538,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,509.0,7.794956745900957,0.0153570547712595,69.38788248511756,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,520.0,6.220857158063339,0.0131652926833203,72.28115568464389,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,531.0,7.428567545907886,0.0149453374414825,66.8496937402124,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,543.0,8.38941626765128,0.0147230019674567,62.35155525944492,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,554.0,7.365668431931031,0.0145153704267174,68.63351363668266,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,565.0,8.039940057654604,0.0137506018901969,70.95356495974536,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,577.0,7.605249043490837,0.0132203553742689,73.17111687790612,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,588.0,8.625414371385009,0.0140875327658286,66.90912520434576,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,599.0,8.886156201224026,0.0151663455277271,75.03094311469893,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,611.0,8.72345978380561,0.0147150941791741,72.09250955463396,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,622.0,8.894158681145953,0.0141994586114654,74.03416992990219,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,633.0,8.389691386536247,0.0133265128698035,75.18662554650142,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,645.0,9.595065788303758,0.014717065535337,77.18708284773295,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,complex,short,656.0,9.01555555384138,0.0146564828631033,73.39643448342093,NVIDIA GeForce RTX 3060 Ti,6490.0,8192,94.0
1,moderate,short,9.0,0.1727669428733984,0.0184403015298157,54.42825858566648,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,27.0,0.4951316905296236,0.0180768085291764,61.5435829460457,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,45.0,0.8205138296843246,0.0184226339931576,60.58735600773643,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,63.0,1.0023018010582845,0.0166445096953607,57.29840357374152,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,81.0,1.40909751027276,0.0172233510776307,57.53374515125718,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,99.0,1.7015014246982731,0.0186825690326508,59.01722699900687,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,117.0,1.9059623964724317,0.0167259486147332,58.77325936621734,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,135.0,2.205858686148689,0.0169196918161479,59.28115077679597,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,153.0,3.259370712780931,0.0196673326619052,67.49930376749313,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,172.0,2.8487812634278638,0.016668105254369,62.51191827269008,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,190.0,3.1033636276277643,0.0157566525612452,68.9046430917633,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,208.0,2.981081683455413,0.0163884630560879,63.13602472968008,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,226.0,3.6109093999340174,0.0164013441547302,65.14801283360056,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,244.0,4.200639828198471,0.0173663514248261,58.988076082050505,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,262.0,4.5012567362068925,0.0165932459501206,66.4136575512412,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,280.0,3.9771729776070703,0.0147683587920561,66.04455821988962,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
1,moderate,short,298.0,4.739367341928292,0.0153367386519203,71.53190938954953,NVIDIA GeForce RTX 3060 Ti,6776.0,8192,93.0
